Film,Genre,movie_id
Zack and Miri Make a Porno,romance,1
Youth in Revolt,comedy,2
You Will Meet a Tall Dark Stranger,comedy,3
When in Rome,comedy,4
What Happens in Vegas,comedy,5
Water For Elephants,drama,6
WALL-E,animation,7
Waitress,romance,8
Waiting For Forever,romance,9
Valentine's Day,comedy,10
Tyler Perry's Why Did I get Married,romance,11
Twilight: Breaking Dawn,romance,12
Twilight,romance,13
The Ugly Truth,comedy,14
The Twilight Saga: New Moon,drama,15
The Time Traveler's Wife,drama,16
The Proposal,comedy,17
The Invention of Lying,comedy,18
The Heartbreak Kid,comedy,19
The Duchess,drama,20
The Curious Case of Benjamin Button,fantasy,21
The Back-up Plan,comedy,22
Tangled,animation,23
Something Borrowed,romance,24
She's Out of My League,comedy,25
Sex and the City Two,comedy,26
Sex and the City 2,comedy,27
Sex and the City,comedy,28
Remember Me,drama,29
Rachel Getting Married,drama,30
Penelope,comedy,31
P.S. I Love You,romance,32
Over Her Dead Body,comedy,33
Our Family Wedding,comedy,34
One Day,romance,35
Not Easily Broken,drama,36
No Reservations,comedy,37
Nick and Norah's Infinite Playlist,comedy,38
New Year's Eve,romance,39
My Week with Marilyn,drama,40
Music and Lyrics,romance,41
Monte Carlo,romance,42
Miss Pettigrew Lives for a Day,comedy,43
Midnight in Paris,romance,44
Marley and Me,comedy,45
Mamma Mia!,comedy,46
Mamma Mia!,comedy,47
Made of Honor,comedy,48
Love Happens,drama,49
Love & Other Drugs,comedy,50
Life as We Know It,comedy,51
License to Wed,comedy,52
Letters to Juliet,comedy,53
Leap Year,comedy,54
Knocked Up,comedy,55
Killers,action,56
Just Wright,comedy,57
Jane Eyre,romance,58
It's Complicated,comedy,59
I Love You Phillip Morris,comedy,60
High School Musical 3: Senior Year,comedy,61
He's Just Not That Into You,comedy,62
Good Luck Chuck,comedy,63
Going the Distance,comedy,64
Gnomeo and Juliet,animation,65
Gnomeo and Juliet,animation,66
Ghosts of Girlfriends Past,comedy,67
Four Christmases,comedy,68
Fireproof,drama,69
Enchanted,comedy,70
Dear John,drama,71
Beginners,comedy,72
Across the Universe,romance,73
A Serious Man,drama,74
A Dangerous Method,drama,75
27 Dresses,comedy,76
(500) Days of Summer,comedy,77
